50
0
17,11,47,58,30,20,44,73,16,40,78,20,91,48,13,15,19,78,35,95,26,60,41,46,19,20,1,43,55,-,27,1,56,8,29,37,44,48,15,63,59,38,84,15,88,2,81,9,97,86
24,6,25,80,80,46,5,78,31,18,51,62,71,40,20,89,5,23,1,41,2,66,86,39,31,75,79,90,27,32,-,96,80,78,98,39,98,96,49,58,26,42,67,88,62,25,57,88,93,2
46,79,78,42,52,2,49,51,85,55,61,10,90,75,33,56,75,78,65,90,47,80,15,37,47,47,59,39,95,39,88,-,35,76,29,91,18,27,24,34,44,19,88,9,61,49,20,22,33,39
98,5,85,40,9,68,94,37,62,55,98,45,98,70,23,27,63,51,1,21,55,25,25,37,85,72,30,27,89,51,22,39,-,71,74,86,65,74,94,33,29,84,19,55,85,16,31,59,74,33
54,71,100,78,38,88,82,54,8,17,72,14,41,84,47,50,18,32,4,85,93,78,95,88,7,46,3,60,82,44,92,38,62,-,38,50,43,24,59,13,79,50,24,6,1,81,52,61,81,67
47,27,29,19,30,51,72,20,8,80,48,67,79,34,29,42,37,12,95,2,30,90,90,65,46,32,2,34,94,84,42,12,38,52,-,30,89,65,70,9,33,32,97,51,98,28,68,86,6,57
32,59,47,50,18,76,29,38,55,99,62,22,66,11,17,94,96,67,39,19,68,77,69,70,3,7,86,60,23,8,23,73,54,39,51,-,67,25,32,44,62,33,46,85,60,92,54,54,96,87
32,59,19,21,90,78,51,8,42,62,79,96,57,66,2,54,78,46,49,80,62,89,75,10,53,86,41,50,85,43,57,41,91,2,26,31,-,63,80,30,12,12,19,75,49,62,63,62,60,95
54,9,4,48,58,94,23,48,24,46,64,84,95,30,96,87,95,53,32,6,58,96,58,8,65,21,68,51,36,75,63,86,20,56,19,81,51,-,17,50,44,87,43,67,44,73,74,79,97,44
80,30,16,90,17,77,41,19,76,11,91,20,6,17,62,58,6,57,85,31,33,43,69,32,56,28,21,93,54,67,9,53,98,12,92,52,42,5,-,40,27,91,70,4,43,10,47,55,11,69
12,41,68,90,38,9,10,28,6,25,4,29,27,1,93,49,16,84,74,25,40,86,25,100,32,35,71,16,4,6,45,37,27,85,25,26,75,72,88,-,56,32,93,11,53,37,15,6,52,5
75,71,96,87,49,8,94,65,95,94,83,14,48,70,89,53,17,96,32,47,23,15,15,61,66,17,28,29,46,48,25,2,19,69,13,71,59,6,49,1,-,55,76,93,90,27,97,11,92,35
64,99,64,92,88,60,8,73,93,70,42,43,34,19,15,41,71,28,96,49,91,91,13,91,55,39,4,38,25,52,80,20,93,92,65,89,93,61,24,1,67,-,90,7,54,69,85,60,100,63
72,3,14,43,87,50,100,52,70,64,30,97,22,70,58,80,53,95,82,55,45,23,73,1,91,87,56,88,47,91,38,51,47,2,57,82,87,33,12,11,67,59,-,80,23,6,82,77,67,54
77,31,17,86,83,19,50,82,33,22,55,18,97,5,89,17,9,30,21,75,67,47,78,11,87,60,5,13,26,28,37,68,91,7,75,75,46,34,20,59,57,17,76,-,57,26,69,80,12,80
33,71,62,19,83,38,23,21,19,83,96,95,50,1,80,98,92,16,39,100,94,30,13,24,20,92,53,9,92,43,16,37,63,23,66,54,73,94,74,55,100,49,36,53,-,30,15,63,23,100
100,77,58,66,76,97,95,75,64,79,51,57,42,21,66,46,48,41,43,14,58,8,48,2,55,79,74,24,90,3,94,83,52,99,32,29,61,81,1,39,92,3,44,19,43,-,52,21,39,87
2,35,86,45,97,100,79,10,16,27,75,84,50,6,97,19,54,74,14,93,75,25,41,33,30,73,4,23,98,85,43,67,96,62,82,54,42,30,13,29,91,82,69,82,85,36,-,83,10,37
10,30,45,56,88,46,69,26,7,44,98,57,69,96,76,52,95,3,94,76,33,72,26,57,39,62,47,56,97,71,21,22,55,80,53,15,49,6,12,87,45,60,51,2,26,24,85,-,9,61
22,2,98,63,21,93,55,22,32,24,60,28,75,77,24,74,7,35,15,12,16,77,38,60,1,71,62,31,17,30,79,65,51,11,25,36,54,82,82,22,86,27,15,41,36,77,28,47,-,12
41,98,1,52,93,13,18,42,57,96,80,44,76,74,58,25,13,46,32,28,43,98,91,74,13,55,72,85,48,70,38,68,29,13,22,93,2,61,50,13,73,83,21,32,53,86,60,21,18,-
